CATNO;CATNO2_NGC;CON;MESSIER;NAME_DE;NAME_EN;MAG;RA_HH;RA_MM_SS;DEC_DEG;DEC_MM_SS;GTYPE;DIST_LY;RADSPEED;VISDIM;GC
1;G1;And;;Mayall II;Mayall II;13.7;0;32.78;+39;34.68;0;2500000;-999;0.3;GC
1;NGC6760;Aql;;;;9.1;19;11.1;+1;1;9;13040;-21;6.6;GC
1;NGC6981;Aqr;M072;;;9.4;20;53.5;-12;32;9;56400;-278;5.9;GC
1;NGC7089;Aqr;M002;;;6.5;21;33.5;-0;51;2;37000;-6;12.9;GC
1;NGC5466;Boo;;;;9.1;14;15.4;28;32;12;47270;120;11.0;GC
1;NGC5272;Cvn;M003;;;6.4;13;42.2;28;22;6;32200;-147;16.2;GC
1;NGC7099;Cap;M030;;;7.5;21;40.3;-23;11;5;27000;-172;11.0;GC
1;NGC4147;Com;;;;10.3;12;10.1;18;32;6;57000;182;4.0;GC
1;NGC5024;Com;M053;;;7.7;13;12.9;18;10;5;56000;-79;12.6;GC
1;NGC5053;Com;;;;9.8;13;16.3;17;41;11;50000;0;10.5;GC
1;NGC6934;Del;;;;8.9;20;34.1;7;24;8;48000;-379;5.8;GC
1;NGC6205;Her;M013;Herkuleshaufen;Hercules Globular Cluster;5.9;16;41.7;36;27;5;23500;-248;16.6;GC
1;NGC6229;Her;;;;9.4;16;47;47;31;4;102000;-154;4.5;GC
1;NGC6341;Her;M092;;;6.5;17;17.1;43;8;4;25500;-121;11.2;GC
1;NGC4590;Hya;M068;;;8.2;12;39.4;-26;45;10;31300;-117;12.0;GC
1;NGC5694;Hya;;;;10.2;14;39.6;-26;31;7;105300;-184;3.6;GC
1;NGC1904;Lep;M079;;;8.0;5;24.2;-24;31;5;43400;185;8.7;GC
1;NGC5897;Lib;;;;8.6;15;17.4;-21;0;11;39400;10;12.6;GC
1;NGC5824;Lup;;;;9.0;15;4.0;-33;4;1;77300;-58;6.2;GC
1;NGC5986;Lup;;;;7.1;15;46.1;-37;46;7;33300;-35;9.8;GC
1;NGC2419;Lyn;;;;10.4;7;38.2;38;54;2;303500;-20;4.1;GC
1;NGC6779;Lyr;M056;;;8.3;19;16.5;30;10;10;31000;-138;7.1;GC
1;NGC6171;Oph;M107;;;8.1;16;32.5;-13;3;10;19200;-60;10.0;GC
1;NGC6218;Oph;M012;;;6.6;16;47.2;-1;57;9;17900;-44;14.5;GC
1;NGC6235;Oph;;;;10.2;16;53.4;-22;9;10;32600;85;5.0;GC
1;NGC6254;Oph;M010;;;6.6;16;57.1;-4;6;7;14300;70;15.1;GC
1;NGC6266;Oph;M062;;;6.6;17;1.3;-30;7;4;19600;-61;14.1;GC
1;NGC6273;Oph;M019;;;7.2;17;2.6;-26;15;8;34600;121;13.5;GC
1;NGC6284;Oph;;;;9.0;17;4.5;-24;45;9;32600;22;5.6;GC
1;NGC6287;Oph;;;;9.2;17;5.1;-22;42;7;29300;-211;5.1;GC
1;NGC6293;Oph;;;;8.2;17;10.2;-26;33;4;24000;-73;7.9;GC
1;NGC6304;Oph;;;;8.4;17;14.6;-29;27;6;17600;-98;6.8;GC
1;NGC6316;Oph;;;;9.0;17;16.5;-28;8;3;39100;68;4.9;GC
1;NGC6333;Oph;M009;;;7.9;17;19.1;-18;31;8;22500;225;9.3;GC
1;NGC6342;Oph;;;;9.9;17;21.1;-19;35;4;48900;83;3.0;GC
1;NGC6356;Oph;;;;8.7;17;23.6;-17;48;2;56100;32;7.2;GC
1;NGC6355;Oph;;;;9.6;17;24;-26;21;-1;22200;-160;5.0;GC
1;NGC6366;Oph;;;;10.0;17;27.7;-5;4;11;13000;0;8.3;GC
