CATNO;CATNO2_NGC;CON;MESSIER;NAME_DE;NAME_EN;RA_HH;RA_MM_SS;DEC_DEG;DEC_MM_SS;NTYPE;VISDIM1;VISDIM2;STAR;STAR_MAG;DIST_LY;MAG;N
1;C99;Cru;;Kohlensack;Coalsack;12;50.0;-62;30.0;DN;420;300;;-999;590;-999;N
1;IC4628;Sco;;Garnelennebel (Gum 56);Prawn Nebula (GUM 56);16;56.91;-40;30.73;HII;90;90;;-999;6000;7.31;N
1;IC2948;Cen;;Running-Chicken-Nebel;Running Chicken Nebula;11;38.80;-63;31.92;HII;75;50;;-999;6500;4.5;N
1;IC2631;Cha;;Ced 112;Ced 112;11;9.87;-76;36.95;ReN;2;2;HD 97300;-999;520;9.0;N
1;IC2118;Eri;;Hexenkopfnebel;Witch Head Nebula;5;4.92;-7;15.93;ReN;180;60;Rigel;0.12;1000;13.0;N
1;IC1340;Cyg;;;;20;56.13;31;2.9;SNR;25;20;;-999;2400;7.0;N
1;CRL2688;Cyg;;Eiernebel;Egg Nebula;21;2.31;36;41.62;-;30;15;;-999;3000;-999;N
1;Barnard168;Cyg;;Dunkelzigarre;Caterpillar;21;53.33;47;16.0;DN;120;18;;-999;3900;-999;N
1;Barnard142;Aql;;Dreiteilige Dunkelhöhle - B142/143;E Nebula - B142/143;19;40.7;10;57.0;DN;80;50;;-999;2000;-999;N
1;Barnard133;Aql;;;;19;6.1;-6;50.0;DN;10;10;;-999;500;-999;N
1;Barnard111;Sct;;;;18;49.5;-4;45.0;DN;108;60;;-999;500;-999;N
1;Barnard103;Sct;;;;18;39.4;-6;38.0;DN;60;30;;-999;500;-999;N
1;Barnard92;Sgr;;;;18;16.9;-18;04.0;DN;15;9;;-999;10000;-999;N
1;Barnard86;Sgr;;Tintenklecks;Ink Spot Nebula;18;5.0;-27;30.0;DN;5;5;;-999;5500;-999;N
1;Barnard59;Oph;;Pfeifennebel - 59/65/67/77/78;Pipe Nebula - 59/65/67/77/78;17;27.0;-26;56.0;DN;200;140;;-999;650;-999;N
1;Barnard283;Sco;;;;17;51.3;-33;53.0;DN;0;0;;-999;-999;-999;N
1;Barnard50;Sco;;;;17;2.9;-34;24.0;DN;30;15;;-999;-999;-999;N
1;Barnard33;Ori;;Pferdekopfnebel;Horsehead Nebula;5;40.98;-2;27.5;DN;8;6;;-999;1500;-999;N
1;Sharpless276;Ori;;Barnards Loop;Barnard's Loop;5;31.0;-4;54.0;-;-999;-999;;-999;1600;-999;N
1;Sandqvist141-3-5;Mus;;;;12;29.33;-71;34.0;-;1;1;;-999;-999;-999;N
1;NGC6164;Nor;;6164/65;6164/65;16;33.87;-48;6.7;Beam;1;1;HD 148937;-999;4000;6.7;N
1;NGC2029;Dor;;ESO 056-EN 156;ESO 056-EN 156;5;35.68;-66;2.1;E_HII-LMC;2;2;;-999;160000;12.29;N
1;NGC2020;Dor;;ESO 56-?148;ESO 56-?148;5;33.21;-67;42.95;E_HII_WR-LMC;2;2;;-999;160000;;N
1;NGC2014;Dor;;ESO 56-SC146;ESO 56-SC146;5;32.33;-67;41.38;E-LMC;2;2;;-999;160000;9.0;N
1;NGC1966;Dor;;ESO 56-SC125;ESO 56-SC125;5;26.76;-68;49.2;E-LMC;13;13;;-999;160000;8.5;N
