CATNO;CATNO2_NGC;CON;MESSIER;NAME_DE;NAME_EN;RA_HH;RA_MM_SS;DEC_DEG;DEC_MM_SS;OCTYPE;_DIAM_MM;MAG;STAR_CNT;DIST_LY;AGE;OC
1;ClM20;Per;;Melotte 20 (Alpha-Persei-Gruppe);Melotte 20 (Alpha Persei Cluster);3;26.9;49;7.0;-;185;1.2;37;600;60;OC
1;ClM111;Com;;Melotte 111 (Coma-Berenices-Sternhaufen);Melotte 111 (Coma Star Cluster);12;23.0;25;51.0;II-3p;270;4.3;37;288;400;OC
1;ClM101;Car;;Melotte 101;Melotte 101;10;42.2;-65;6.0;-;0;8.0;-999;-999;-999;OC
1;Kemble3;Cas;;Kembles Kite;Kemble's Kite;3;28.0;72;0.0;Ast;60;-999;11;-999;-999;OC
1;Kemble2;Dra;;;;18;35.0;72;23.0;Ast;20;5.0;9;-999;-999;OC
1;Kemble1;Cam;;Kembles Kaskade;Kemble's Cascade;4;0.0;63;0.0;Ast;180;5.0;20;-999;-999;OC
1;Roslund4;Vul;;IC 4954/55;IC 4954/55;20;5.0;29;11.98;II3mn;5;11.5;30;7000;4;OC
1;Collinder399;Vul;;Brocchis Haufen (Kleiderbuegel);Brocchi's Cluster (Coathanger);19;25.4;20;11.0;Ast;60;3.6;10;-999;-999;OC
1;Collinder285;UMa;;Bärengruppe;Ursa Major Moving Cluster;12;03.0;58;0.0;-;1200;0.4;0;76;700;OC
1;Collinder228;CMa;;;;7;23.0;-32;4.0;III3;60;3.5;0;1300;20;OC
1;Collinder140;CMa;;;;7;23.0;-32;4.0;III3;0;3.5;0;1300;5;OC
1;Collinder70;Ori;;Gürtel des Orion;Orion’s Belt;5;36.0;-1;0.0;III3rn;150;0.4;130;1300;5;OC
1;Collinder69;Ori;;Lambda-Orionis-Haufen;Lambda-Orionis-Cluster;5;35.2;9;42.0;II3pn;70;2.8;40;1400;5;OC
1;Upgren1;CVn;;;;12;35.0;36;23.0;Ast;14;4.6;0;456;-999;OC
1;Trumpler10;Vel;;C 0846-423;C 0846-423;8;47.8;-42;29.0;-;0;4.6;0;1100;43;OC
1;Trumpler2;Per;;Tr2;Tr2;2;36.0;55;50.0;-;0;5.9;0;2000;-999;OC
1;Trumpler1;Cas;;Tr1;Tr1;1;35.7;61;17.0;II2p;5;8.1;0;8150;-999;OC
1;Stock23;Cam;;Pazmios Cluster;Pazmio's Cluster;3;16.18;60;6.9;-;15;6;0;2000;32;OC
1;Stock2;Cas;;Muskelmaennchen;Muscle Man;2;15.0;59;16.0;-;80;7.5;0;1200;-999;OC
1;NGC3766;Cen;;Caldwell 97;Caldwell 97;11;36.24;-61;36.32;I1p;15;5.3;0;5700;20;OC
1;NGC206;And;;;;0;40.52;40;44.36;Sc-M31;0;-999;-999;2500000;-999;OC
1;WNC4;Uma;M040;;;12;22.209;58;5;DS;1;9.7;2;480;-1;OC
1;NGC752;And;;Caldwell 28;Caldwell 28;1;57.8;37;41;III-1m;50;5.7;60;1304;1100;OC
1;NGC1912;Aur;M038;;;5;28.7;35;50;III-2m;21;6.4;100;4303;220;OC
