CATNO;CATNO2_NGC;CON;MESSIER;NAME_DE;NAME_EN;RA_HH;RA_MM_SS;DEC_DEG;DEC_MM_SS;PNTYPE;VISDIM1;VISDIM2;MAG;MAG_STAR;DIST_LY;RADSPEED;PN
1;M1-92;Cyg;;Minkowskis Fußabdruck;Footprint Nebula;19;36.3;29;33.0;Proto-;10;16;11.7;-999;8000;-999;PN
1;IC4997;Sge;;;;20;20.15;16;53.9;-HD 193538;13;13;10.5;11;8000;-66;PN
1;PK329-2.2;;;;;16;14.5;-54;57.0;-;25;21;11.9;-999;-999;-999;PN
1;PK205+14.1;Gem;;Medusa-Nebel;Medusa Nebula;7;29.05;13;14.8;-;720;720;15.99;-999;1500;-999;PN
1;PK164+31.1;Lyn;;Jones-Emberson 1 (VV 47);Jones-Emberson 1 (VV 47);7;57.86;53;25.28;-;0;0;12.0;16.83;1600;-999;PN
1;PK104-29.1;Peg;;Jones1;Jones1;23;35.9;30;28.0;-;318;318;15.1;16.1;2300;-999;PN
1;NGC1360;For;;Robin's Egg Nebula;Robin's Egg Nebula;3;33.24;-25;52.3;-;385;385;11.34;-999;1278;42;PN
1;NGC7662;And;;Blauer Schneeball;Blue Snowball Nebula;23;25.9;42;33;4+3;32;28;9.2;13.2;3912;-13;PN
1;NGC6790;Aql;;;;19;23.2;1;31;2;7;7;10.2;13.5;5216;40;PN
1;NGC7009;Aqr;;Saturnnebel;Saturn Nebula;21;4.2;-11;22;4+6-HIP 103992;44;26;8.3;11.5;2934;-46;PN
1;NGC7293;Aqr;;Helixnebel;Helix Nebula;22;29.6;-20;48;4+3;900;720;6.5;13.5;326;-28;PN
1;IC1470;Cap;;;;23;5.3;60;15;5;70;45;8.1;11.9;6813;-999;PN
1;NGC246;Cet;;;;0;47;-11;53;3b;240;210;8.0;11.9;1304;-46;PN
1;Campbells;Cyg;;;;19;34.8;30;31;4;8;8;9.6;10.0;1956;-32;PN
1;NGC6826;Cyg;;Blinking Planetary;Blinking Planetary;19;44.8;50;31;3a+2-HD 186924;27;24;8.8;9.8;2200;-6;PN
1;NGC7027;Cyg;;;;21;7.1;42;14;3a;15;15;10.4;11.3;3586;8;PN
1;NGC6543;Dra;;Katzenaugennebel;Cat's Eye Nebula;17;58.6;66;38;3a+2;25;18;8.8;11.4;3586;-66;PN
1;NGC1535;Eri;;Auge Kleopatras;Cleopatra's Eye Nebula;4;14.2;-12;44;4+2c;50;50;9.6;12.2;5500;-1;PN
1;NGC2392;Gem;;Eskimonebel;Eskimo Nebula;7;29.2;20;55;3b+3b;13;13;9.9;10.5;2934;75;PN
1;NGC6210;Her;;Schildkrötennebel;Turtle Nebula;16;44.5;23;49;2+3b;20;13;9.3;12.9;3586;-36;PN
1;Abell39;Her;;;;16;27.562;27;54.55;-;155;154;15.5;13.7;6800;0;PN
1;NGC3242;Hya;;Jupiters Geist;Ghost of Jupiter;10;24.8;-18;38;4+3b;16;16;8.6;12.0;2608;5;PN
1;NGC6720;Lyr;M057;Ringnebel;Ring Nebula;18;53.6;33;2;4+3;83;59;9.7;14.8;1956;-19;PN
1;NGC6369;Oph;;Kleiner Geistnebel;Little Ghost Nebula;17;29.3;-23;46;4+2;38;38;9.9;14.7;3912;-102;PN
1;NGC6572;Oph;;;;18;12.1;6;51;2a;36;24;9.0;13.6;2500;-9;PN
1;NGC6818;Sgr;;;;19;44;-14;09;-HD 186282;46;46;9.9;13.0;6000;-14;PN
1;NGC1514;Tau;;;;4;9.2;30;47;3+2;120;90;10;9.4;1956;60;PN
1;NGC6853;Vul;M027;Hantelnebel;Dumbbell Nebula;19;59.6;22;43;3+2;480;240;7.6;13.9;978;-42;PN
1;IC4642;;;;;17;11.75;-55;24.03;-;0;0;13;-999;-999;44;PN
1;NGC6879;;;;;20;10.45;16;55.36;-;0;0;14.8;-999;-999;7;PN
1;IC4732;;;;;18;33.91;-22;38.68;-;0;0;-999;-999;-999;-141;PN
1;NGC6804;Aql;;PK 045-04.1;PK 045-04.1;19;31.59;9;13.52;-;66;66;13.4;-999;172;-12;PN
1;IC351;;;;;3;47.55;35;2.81;-;0;0;12.27;-999;-999;-10;PN
1;IC2149;Aur;;;;5;56.40;46;6.29;-;34;34;10.6;-999;5200;-34;PN
1;IC4191;;;;;13;8.79;-67;38.63;-;0;0;11.61;-999;-999;-18;PN
1;IC4634;;;;;17;1.56;-21;49.55;-;0;0;9.5;-999;-999;-34;PN
1;NGC6807;;;;;19;34.56;5;41.04;-;0;0;12;-999;-999;-68;PN
1;NGC7008;;;Fetus Nebel;Fetus Nebula;21;0.54;54;32.60;-GSC 03956-00738;1;1;10.7;-999;2800;-76;PN
1;NGC2022;;;;;5;42.10;9;5.17;-;0;0;14.2;-999;467;14;PN
1;NGC5882;Lup;;;;15;16.83;-45;38.97;-HD 135456;0.33;0.33;9.4;20;3000;8;PN
1;NGC650;Per;M076;Kleiner Hantelnebel;Little Dumbbell Nebula;1;42.33;51;34.52;-;2;2;17.48;-999;3400;-19;PN
1;IC2003;;;;;3;56.37;33;52.49;-;0;0;15;-999;-999;-16;PN
1;NGC3195;Cha;;;;10;9.35;-80;51.51;-GSC 9409-1163;1;1;11.6;-999;5500;-7;PN
1;NGC6058;;;;;16;4.44;40;40.93;-;0;0;13;-999;-999;1;PN
1;NGC6803;;;;;19;31.27;10;3.36;-;0;0;15.2;-999;-999;13;PN
1;IC4663;;;;;17;45.47;-44;54.24;-;0;0;-999;-999;-999;-74;PN
1;NGC6881;;;;;20;10.87;37;24.71;-;0;0;-999;-999;-999;-15;PN
1;NGC6886;;;;;20;12.71;19;59.38;-;0;0;-999;-999;-999;-36;PN
1;IC4406;;;;;14;22.44;-44;9.07;-;0;0;-999;-999;-999;-22;PN
1;IC1454;;;;;22;42.42;80;26.53;-;1;1;-999;-999;-999;0;PN
1;NGC2440;Pup;;;;7;41.92;-18;12.49;-HD 62166;1;1;9.4;17.7;1600;63;PN
1;NGC6751;Aql;;6751/6748;6751/6748;19;5.93;-5;59.55;-HD 177656;26;26;15.48;-999;6500;-43;PN
1;NGC6445;;;;;17;49.25;-20;0.58;-;1;1;-999;-999;-999;-8;PN
1;IC4599;;;;;16;19.39;-42;15.61;-;1;1;-999;-999;-999;-61;PN
1;NGC2610;;;;;8;33.39;-16;8.96;-;1;1;-999;-999;-999;88;PN
1;NGC3918;Cen;;;;11;50.30;-57;10.95;-;1;1;8.5;-999;4900;-16;PN
1;NGC6337;;;;;17;22.26;-38;29.06;-;1;1;-999;-999;-999;-71;PN
1;NGC6578;;;;;18;16.28;-20;27.04;-;0;0;-999;-999;-999;4;PN
1;NGC6026;;;;;16;1.35;-34;32.60;-;1;1;-999;-999;-999;-87;PN
1;NGC7139;;;;;21;46.14;63;47.49;-;1;1;-999;-999;-999;-54;PN
