alpha/And Alpheratz;S;AND;PEG
beta/And Mirach;S;AND;PSC
gamma/And Alamak;S;AND;TRI
gammaB/And;S;AND;TRI
delta/And;S;AND;PEG
epsilon/And;S;AND;PSC
theta/And;S;AND;CAS
iota/And;S;AND;CAS
omikron/And;S;AND;LAC
pi/And;S;AND;PEG
rho/And;S;AND;CAS
sigma/And;S;AND;CAS
ypsilon/And;S;AND;TRI
chi/And;S;AND;PER
psi/And;S;AND;CAS
omega/And;S;AND;LAC
AN/And;S;AND;CAS
lambda/And;S;AND;CAS
R/And;S;AND;CAS
zeta/And;S;AND;PSC
2/And;S;AND;LAC
kappa/And;S;AND;CAS
phi/And;S;AND;CAS
tau/And;S;AND;TRI
mu/And;S;AND;CAS
nu/And;S;AND;PSC
 Adhil;S-;AND;CAS
alpha/Aql Altair;S;AQL;SGE
beta/Aql Alschain;S;AQL;SGE
gamma/Aql Tarazed;S;SGE;VUL
delta/Aql;S;AQL;SER2
epsilon/Aql Deneb el Okab;S;AQL;SGE
lambda/Aql Al Thalimain Prior;S;AQL;SCT
zeta/Aql Deneb el Okab Australis;S;AQL;SGE
theta/Aql;S;AQL;CAP
sigma/Aql;S;AQL;SER2
eta/Aql;S;AQL;SER2
iota/Aql Al Thalimain;S;AQL;SER2
kappa/Aql;S;AQL;SCT
mu/Aql;S;AQL;SGE
nu/Aql;S;AQL;SER2
xi/Aql;S;AQL;SGE
omikron/Aql;S;SGE;AQL
pi/Aql;S;SGE;VUL
Tau/Aql;S;AQL;SGE
ypsilon/Aql;S;AQL;SGE
phi/Aql;S;SGE;AQL
chi/Aql;S;SGE;VUL
psi/Aql;S;SGE;VUL
omega1/Aql;S;VUL;SGE
omega2/Aql;S;VUL;SGE
Y/Aql;S;AQL;SGE
QS/Aql;S;SGE;VUL
15/Aql;S;AQL;SCT
23/Aql;S;AQL;SER2
57/Aql;S;AQL;SCT
alpha/Aqr Sadalmelik;S;PEG;AQR
beta/Aqr Sadalsuud;S;AQR;PEG
gamma/Aqr Sadachbia;S;AQR;PEG
epsilon/Aqr Albali;S;AQR;CAP
lambda/Aqr Hydor;S;PSC;AQR
delta/Aqr Scheat;S;AQR;PSA
tau1/Aqr;S;AQR;PSC
tau2/Aqr;S;AQR;PSC
eta/Aqr;S;AQR;PEG
zeta/Aqr;S;AQR;PEG
theta/Aqr Ancha;S;AQR;PSC
iota/Aqr;S;AQR;CAP
kappa/Aqr Situla;S;AQR;PEG
mu/Aqr Albulaan;S;AQR;CAP
nu/Aqr Albulaan;S;AQR;CAP
ypsilon/Aqr;S;PSA;AQR
phi/Aqr;S;PSC;AQR
chi/Aqr;S;PSC;AQR
psi1/Aqr;S;PSC;AQR
psi2/Aqr;S;PSC;AQR
psi3/Aqr;S;PSC;AQR
omega1/Aqr;S;AQR;CAP
omega2/Aqr;S;AQR;CAP
88/Aqr;S;SCL;PSA
R/Aqr;S;AQR;SCL
R2/Aqr;S;AQL;SCT
1/Aqr;S;AQL;AQR
89/Aqr;S;SCL;PSA
94/Aqr;S;AQR;CAP
101/Aqr;S;SCL;AQR
107/Aqr;S;SCL;AQR
alpha/Ara Choo;S;NOR;SCO
beta/Ara;S;ARA;TRA
gamma/Ara;S;ARA;TRA
delta/Ara;S;ARA;APS
epsilon1/Ara;S;ARA;TRA
epsilon2/Ara;S;ARA;TRA
zeta/Ara;S;ARA;TRA
eta/Ara;S;ARA;TRA
theta/Ara;S;ARA;TEL
iota/Ara;S;NOR;SCO
kappa/Ara;S;NOR;ARA
lambda/Ara;S;PAV;ARA
mu/Ara;S;PAV;ARA
nu1/Ara;S;ARA;SCO
nu2/Ara;S;ARA;PAV
pi/Ara;S;PAV;ARA
rho1/Ara;S;ARA;NOR
rho2/Ara;S;ARA;NOR
sigma/Ara;S;SCO;NOR
alpha/Ari Hamal;S;TRI;ARI
beta/Ari Scheratan;S;TRI;ARI
gamma/Ari Mesarthim;S;TRI;PSC
delta/Ari Botein;S;ARI;TAU
epsilon/Ari;S;ARI;TRI
zeta/Ari;S;ARI;TRI
eta/Ari;S;TRI;ARI
theta/Ari;S;ARI;CET
iota/Ari;S;TRI;ARI
kappa/Ari;S;TRI;ARI
lambda/Ari;S;TRI;ARI
mu/Ari;S;ARI;TRI
nu/Ari;S;TRI;ARI
xi/Ari;S;CET;PSC
omikron/Ari;S;CET;ARI
pi/Ari;S;ARI;CET
rho1/Ari;S;ARI;CET
rho2/Ari;S;ARI;TRI
rho3/Ari;S;ARI;TRI
sigma/Ari;S;ARI;CET
tau1/Ari;S;ARI;TAU
tau2/Ari;S;ARI;TAU
14/Ari;S;AND;TRI
21/Ari;S;TRI;ARI
33/Ari;S;TRI;PER
41/Ari;S;TRI;PER
SX/Ari;S;PER;TRI
alpha/Aur Capella;S;AUR;CAM
beta/Aur Menkalinan;S;AUR;CAM
delta/Aur;S;AUR;CAM
iota/Aur Hassaleh;S;TAU;AUR
eta/Aur HaedusII;S;AUR;PER
theta/Aur;S;TAU;AUR
theta2/Aur;S;TAU;AUR
kappa/Aur;S;GEM;ORI
lambda/Aur Al Hurr;S;AUR;PER
mu/Aur;S;AUR;TAU
xi/Aur;S;AUR;CAM
omikron/Aur;S;AUR;CAM
pi/Aur;S;AUR;CAM
epsilon/Aur Almaaz;S;CAM;AUR
sigma/Aur;S;TAU;AUR
nu/Aur;S;TAU;AUR
tau/Aur;S;AUR;TAU
upsilon/Aur;S;TAU;AUR
phi/Aur;S;TAU;AUR
chi/Aur;S;TAU;AUR
psi1/Aur;S;LYN;AUR
psi2/Aur;S;AUR;GEM
psi3/Aur;S;AUR;GEM
psi4/Aur;S;AUR;LYN
psi5/Aur;S;GEM;AUR
psi6/Aur;S;LYN;AUR
psi7/Aur;S;AUR;LYN
psi8/Aur;S;LYN;AUR
psi9/Aur;S;LYN;AUR
zeta/Aur Haedus;S;AUR;PER
omega/Aur;S;TAU;AUR
AE/Aur;S;AUR;TAU
AR/Aur;S;AUR;TAU
RT/Aur;S;GEM;ORI
WW/Aur;S;GEM;AUR
UU/Aur;S;GEM;AUR
9/Aur;S;CAM;AUR
16/Aur;S;AUR;TAU
rho/Aur;S;AUR;PER
alpha/Boo Arktur/Arkturus;S;BOO;CVN
beta/Boo Nekkar;S;BOO;CVN
gamma/Boo;S;BOO;CVN
delta/Boo;S;BOO;CRB
epsilon/Boo Izar;S;BOO;CVN
zeta/Boo;S;VIR;BOO
zeta2/Boo;S;VIR;BOO
rho/Boo;S;BOO;CVN
eta/Boo Muphrid/Saak;S;COM;BOO
theta/Boo Asellus Primus;S;BOO;DRA
tau/Boo;S;BOO;COM
13/Boo;S;BOO;UMA
kappa/Boo;S;BOO;UMA
15/Boo;S;BOO;VIR
iota/Boo Asellus Secundus;S;BOO;UMA
18/Boo;S;VIR;BOO
sigma/Boo;S;BOO;CVN
pi/Boo;S;BOO;COM
iota2/Boo;S;BOO;DRA
xsi/Boo;S;BOO;CVN
xsi2/Boo;S;BOO;CVN
44/Boo;S;BOO;DRA
45/Boo;S;BOO;DRA
45-2/Boo;S;BOO;DRA
mu/Boo;S;BOO;CRB
alpha/Cae;S;CAE;ERI
beta/Cae;S;CAE;ERI
gamma/Cae;S;CAE;COL
delta/Cae;S;PIC;DOR
zeta/Cae;S;CAE;ERI
nu/Cae;S;PIC;CAE
alpha/Cam;S;CAM;CAS
beta/Cam;S;CAM;AUR
gamma/Cam;S;CAM;CEP
TU/Cam;S;AUR;CAM
7/Cam;S;AUR;CAM
11/Cam;S;CAM;AUR
BE/Cam;S;CAM;CAS
gamma/Cam;S;CAM;CEP
CS/Cam;S;CAM;PER
M/Cam;S;CAM;CEP
alpha/Cnc Akubens;S;HYA;CNC
beta/Cnc Altarf;S;HYA;CMI
gamma/Cnc Asellus Borealis;S;GEM;CNC
delta/Cnc Asellus Australis;S;CNC;GEM
epsilon/Cnc;S;GEM;CNC
rho/Cnc;S;CNC;GEM
X/Cnc;S;CMI;CNC
zeta/Cnc Tegmine;S;CNC;GEM
eta/Cnc;S;GEM;CNC
theta/Cnc;S;GEM;CNC
iota/Cnc;S;CNC;GEM
kappa/Cnc;S;HYA;CNC
lambda/Cnc;S;CNC;GEM
mu1/Cnc;S;GEM;CNC
mu2/Cnc;S;GEM;CNC
nu/Cnc;S;CNC;GEM
xi/Cnc;S;GEM;CNC
omikron1/Cnc;S;HYA;CNC
omikron2/Cnc;S;HYA;CNC
pi2/Cnc;S;HYA;LEO
pi1/Cnc;S;HYA;CNC
rho1/Cnc;S;CNC;GEM
rho2/Cnc;S;CNC;GEM
sigma1/Cnc;S;LYN;CNC
sigma2/Cnc;S;GEM;LYN
sigma3/Cnc;S;LYN;CNC
tau/Cnc;S;LYN;CNC
upsilon1/Cnc;S;LYN;CNC
upsilon2/Cnc;S;LYN;CNC
phi1/Cnc;S;CNC;GEM
phi2/Cnc;S;CNC;GEM
chi/Cnc;S;CNC;GEM
psi1/Cnc;S;GEM;CNC
psi2/Cnc;S;GEM;CNC
omega/Cnc;S;GEM;CNC
alpha1/Cap Algiedi;S;AQL;CAP
alpha11/Cap;S;AQL;CAP
alpha2/Cap;S;AQL;CAP
alpha21/Cap;S;AQL;CAP
beta/Cap Dabih;S;CAP;AQL
beta1/Cap;S;CAP;AQL
delta/Cap Deneb Algedi;S;AQR;CAP
gamma/Cap Nashira;S;AQR;CAP
pi/Cap Okul;S;MIC;CAP
rho/Cap;S;MIC;CAP
rho1/Cap;S;MIC;CAP
sigma/Cap;S;CAP;SGR
theta/Cap;S;CAP;AQR
nu/Cap;S;AQL;CAP
eta/Cap Arm;S;CAP;AQR
xsi/Cap;S;CAP;AQR
zeta/Cap;S;CAP;PSA
psi/Cap;S;CAP;MIC
omega/Cap Baten Algiedi;S;MIC;CAP
alpha/Car Canopus;S;CAR;PIC
beta/Car Miaplacidus;S;CAR;VOL
epsilon/Car She/(Avior);S;VEL;CAR
iota/Car Tureis;S;CAR;VOL
mu/Car;S;CAR;VOL
theta/Car;S;CAR;VOL
alpha/Cas Schedir;S;AND;CAS
beta/Cas Caph;S;CAS;CEP
gamma/Cas Cih;S;CAS;CEP
delta/Cas Ksora;S;CAS;PER
epsilon/Cas Segin;S;CAS;PER
AR/Cas;S;AND;CAS
AR/Cas;S;AND;CAS
AR/Cas;S;AND;CAS
AR/Cas;S;AND;CAS
AR/Cas;S;AND;CAS
6/Cas;S;CAS;CEP
6/Cas;S;CAS;CEP
sigma/Cas;S;CAS;AND
lambda/Cas;S;CAS;AND
omikron/Cas;S;AND;CAS
eta/Cas;S;CAS;AND
eta/Cas;S;CAS;AND
eta/Cas;S;CAS;AND
mu/Cas;S;AND;CAS
theta/Cas;S;AND;CAS
phi/Cas;S;AND;CAS
phi/Cas;S;AND;CAS
psi/Cas;S;CAS;CEP
psi/Cas;S;CAS;CEP
48/Cas;S;CAS;CEP
iota/Cas;S;CAS;PER
iota/Cas;S;CAS;PER
alpha1/Cen Rigil Kent;S;CEN;CIR
alpha2/Cen;S;CEN;CIR
beta/Cen Hadar;S;CIR;MUS
gamma/Cen Koo Low;S;CEN;CRU
delta/Cen;S;CRU;CEN
epsilon/Cen;S;CEN;CRU
eta/Cen;S;LUP;CEN
iota/Cen;S;CEN;HYA
zeta/Cen;S;CEN;LUP
1/Cen;S;HYA;CEN
2/Cen;S;HYA;VIR
theta/Cen Haratan;S;CEN;HYA
alpha/Cep Alderamin;S;CEP;CYG
beta/Cep Alfirk;S;CEP;DRA
gamma/Cep Errai;S;CEP;CAS
delta/Cep;S;LAC;CEP
iota/Cep;S;CEP;LAC
zeta/Cep;S;LAC;CEP
eta/Cep Al Kidr;S;DRA;CEP
epsilon/Cep;S;LAC;CEP
mu/Cep Granatstern;S;CEP;CYG
kappa/Cep;S;DRA;CEP
pi/Cep;S;CEP;DRA
