And;Andromeda;Andromeda;Andromeda;Andromeda;Andromède;Andromeda;Andrómeda;Andromeda;Andromeda;N
Ant;Luftpumpe;Antlia;Air Pump;Ilmapumppu;Machine Pneumatique;Macchina Pneumatica;Máquina Neumática;Výv?va;Pompa;S
Aps;Paradiesvogel;Apus;Bird of Paradise;Paratiisilintu;Oiseau de Paradis;Uccello del Paradiso;Ave del Paraíso;Rajka;Cennetku?u;S
Aql;Adler;Aquila;Eagle;Kotka;Aigle;Aquila;Águila;Orel;Kartal;N/S
Aqr;Wassermann;Aquarius;Aquarius;Vesimies;Verseau;Acquario;Acuario;Vodná?;Kova;Z N/S
Ara;Altar;Ara;Altar;Alttari;Autel;Altare;Altar;Oltá?;Sunak;S
Ari;Widder;Aries;Ram;Oinas;Bélier;Ariete;Aries, Carnero;Beran;Koç;Z
Aur;Fuhrmann;Auriga;Charioteer;Ajomies;Cocher;Auriga;Auriga, Cochero;Vozka;Arabac?;N
Boo;Baerenhueter, Bootes;Bootes;Herdsman, Booetes;Karhunvartija;Bouvier;Boote;Boyero;Pastý?;Çoban;N
Cae;Grabstichel;Caelum;Graving tool;Veistotaltta;Burin;Bulino dello Incisore;Cincel;Rydlo;Çelikkalem;S
Cam;Giraffe;Camelopar-dalis;Giraffe;Kirahvi;Girafe;Giraffa;Jirafa;Žirafa;Zuerafa;N
Cap;Steinbock;Capricornus;Capricorn;Kauris;Capricorne;Capricorno;Capricornio;Kozoroh;O?lak;Z
Car;Kiel des Schiffs;Carina;Keel;Koeli;Carène;Carena (della Nave);Carina;Lodní kýl;Karina;S
Cas;Kassiopeia;Cassiopeia;Cassiopeia;Kassiopeia;Cassiopée;Cassiopeia;Casiopea;Kasiopeja;Koltuk;N
Cen;Zentaur;Centaurus;Centaur;Kentauri;Centaure;Centauro;Centauro, Quirón;Kentaur;Erbo?a;S
Cep;Kepheus;Cepheus;Cepheus;Kefeus;Céphée;Cefeo;Cefeo;Kefeus;Kral;N
Cet;Walfisch;Cetus;Whale;Valaskala;Baleine;Balena;Ballena, Cetus;Velryba;Balina;S/N
Cha;Chamaeleon;Chamaeleon;Chamaeleon;Kameleontti;Caméléon;Camaleonte;Camaleón;Chameleón;Bukalemun;S
Cir;Zirkel;Circinus;Compasses;Harppi;Compas;Compasso;Compás;Kružítko;Pergel;S
CMa;Grosser Hund;Canis Maior;Great Dog;Iso koira;Grand Chien;Cane Maggiore;Perro Mayor;Velký pes;Bueyuek Koepek;S
CMi;Kleiner Hund;Canis Minor;Little Dog;Pieni koira;Petit Chien;Cane Minore;Perro Menor, Perro Pequeño;Malý pes;Kueçuek Koepek;S
Cnc;Krebs;Cancer;Crab;Krapu;Cancer;Cancro;Cáncer, Cangrejo;Rak;Yengeç;Z
Col;Taube;Columba;Dove;Kyyhkynen;Colombe;Colomba;Paloma;Holubice;Guevercin;S
Com;Haar der Berenike;Coma Berenices;Berenice's Hair;Bereniken hiukset;Chevelure de Bérénice;Chioma di Berenice;Pelo de Berenice;Vlasy Bereniky;Berenis'in Saç?;N
